step,time_s,x_robot,y_robot,angulo_grados,action
412,13.184,-0.1218,-0.0102,-88.87,AVANZAR
413,13.216,-0.1218,-0.0128,-88.87,AVANZAR
414,13.248,-0.1217,-0.0153,-89.01,AVANZAR
415,13.28,-0.1217,-0.0178,-89.01,AVANZAR
416,13.312,-0.1216,-0.0204,-88.87,GIRANDO
417,13.344,-0.1216,-0.0204,-89.01,AVANZAR
418,13.376,-0.1216,-0.0229,-89.15,AVANZAR
419,13.408,-0.1215,-0.0255,-89.15,AVANZAR
420,13.44,-0.1215,-0.0281,-89.15,GIRANDO
421,13.472,-0.1215,-0.028,-89.29,AVANZAR
422,13.504,-0.1215,-0.0306,-89.29,AVANZAR
423,13.536,-0.1214,-0.0332,-89.29,GIRANDO
424,13.568,-0.1214,-0.0332,-89.43,AVANZAR
425,13.6,-0.1214,-0.0357,-89.57,AVANZAR
426,13.632,-0.1214,-0.0383,-89.43,GIRANDO
427,13.664,-0.1214,-0.0383,-89.57,AVANZAR
428,13.696,-0.1214,-0.0408,-89.72,AVANZAR
429,13.728,-0.1214,-0.0434,-89.72,AVANZAR
430,13.76,-0.1214,-0.046,-89.72,GIRANDO
431,13.792,-0.1214,-0.046,-89.72,GIRANDO
432,13.824,-0.1214,-0.046,-90.0,AVANZAR
433,13.856,-0.1214,-0.0486,-90.0,AVANZAR
434,13.888,-0.1214,-0.0511,-90.0,AVANZAR
435,13.92,-0.1214,-0.0536,-90.14,AVANZAR
436,13.952,-0.1214,-0.0561,-90.0,GIRANDO
437,13.984,-0.1214,-0.0562,-90.14,GIRANDO
438,14.016,-0.1214,-0.0562,-90.43,AVANZAR
439,14.048,-0.1214,-0.0588,-90.43,AVANZAR
440,14.08,-0.1214,-0.0613,-90.28,GIRANDO
441,14.112,-0.1214,-0.0613,-90.57,AVANZAR
442,14.144,-0.1214,-0.0639,-90.57,AVANZAR
443,14.176,-0.1214,-0.0664,-90.57,GIRANDO
444,14.208,-0.1214,-0.0664,-90.85,AVANZAR
445,14.24,-0.1215,-0.069,-90.71,GIRANDO
446,14.272,-0.1215,-0.069,-90.99,AVANZAR
447,14.304,-0.1215,-0.0715,-90.99,AVANZAR
448,14.336,-0.1216,-0.0741,-90.99,GIRANDO
449,14.368,-0.1216,-0.074,-91.13,AVANZAR
450,14.4,-0.1216,-0.0766,-91.13,GIRANDO
451,14.432,-0.1216,-0.0767,-91.28,GIRANDO
452,14.464,-0.1216,-0.0767,-86.17,GIRANDO
453,14.496,-0.1216,-0.0767,-81.35,GIRANDO
454,14.528,-0.1216,-0.0766,-76.95,GIRANDO
455,14.56,-0.1216,-0.0766,-72.69,GIRANDO
456,14.592,-0.1216,-0.0767,-68.86,GIRANDO
457,14.624,-0.1216,-0.0766,-65.03,GIRANDO
458,14.656,-0.1216,-0.0766,-61.63,GIRANDO
459,14.688,-0.1216,-0.0767,-58.37,GIRANDO
460,14.72,-0.1216,-0.0766,-55.39,GIRANDO
461,14.752,-0.1216,-0.0766,-52.55,GIRANDO
462,14.784,-0.1216,-0.0767,-49.86,GIRANDO
463,14.816,-0.1216,-0.0766,-47.44,GIRANDO
464,14.848,-0.1216,-0.0767,-45.03,GIRANDO
465,14.88,-0.1216,-0.0766,-42.91,GIRANDO
466,14.912,-0.1216,-0.0766,-40.92,GIRANDO
467,14.944,-0.1216,-0.0766,-38.93,GIRANDO
468,14.976,-0.1216,-0.0766,-37.23,GIRANDO
469,15.008,-0.1216,-0.0766,-35.53,GIRANDO
470,15.04,-0.1216,-0.0767,-33.97,GIRANDO
471,15.072,-0.1216,-0.0767,-32.55,GIRANDO
