step,time_s,x_robot,y_robot,angulo_grados,action
285,9.12,-0.1316,0.0493,-86.67,GIRANDO
286,9.152,-0.1316,0.0492,-86.81,AVANZAR
287,9.184,-0.1315,0.0467,-86.95,AVANZAR
288,9.216,-0.1314,0.0442,-86.81,AVANZAR
289,9.248,-0.1312,0.0416,-86.81,AVANZAR
290,9.28,-0.1311,0.0391,-86.81,AVANZAR
291,9.312,-0.1309,0.0365,-86.81,AVANZAR
292,9.344,-0.1308,0.0339,-86.81,AVANZAR
293,9.376,-0.1306,0.0314,-86.81,AVANZAR
294,9.408,-0.1305,0.0289,-86.95,AVANZAR
295,9.44,-0.1304,0.0264,-86.81,GIRANDO
296,9.472,-0.1304,0.0263,-86.95,AVANZAR
297,9.504,-0.1302,0.0237,-86.95,AVANZAR
298,9.536,-0.1301,0.0211,-86.95,AVANZAR
299,9.568,-0.13,0.0187,-86.95,AVANZAR
300,9.6,-0.1298,0.0161,-86.95,AVANZAR
301,9.632,-0.1297,0.0136,-86.95,AVANZAR
302,9.664,-0.1295,0.011,-86.95,AVANZAR
303,9.696,-0.1294,0.0084,-86.95,GIRANDO
304,9.728,-0.1294,0.0084,-86.95,GIRANDO
305,9.76,-0.1294,0.0084,-87.24,AVANZAR
306,9.792,-0.1293,0.0059,-87.1,AVANZAR
307,9.824,-0.1292,0.0033,-87.1,AVANZAR
308,9.856,-0.129,0.0008,-87.1,AVANZAR
309,9.888,-0.1289,-0.0018,-87.1,AVANZAR
310,9.92,-0.1288,-0.0043,-87.24,AVANZAR
311,9.952,-0.1286,-0.0069,-87.24,AVANZAR
312,9.984,-0.1285,-0.0095,-87.24,AVANZAR
313,10.016,-0.1284,-0.012,-87.1,GIRANDO
314,10.048,-0.1284,-0.012,-87.24,AVANZAR
315,10.08,-0.1283,-0.0145,-87.38,AVANZAR
316,10.112,-0.1282,-0.0171,-87.38,AVANZAR
317,10.144,-0.128,-0.0196,-87.24,AVANZAR
318,10.176,-0.1279,-0.0222,-87.24,AVANZAR
319,10.208,-0.1278,-0.0248,-87.24,GIRANDO
320,10.24,-0.1278,-0.0248,-87.52,AVANZAR
321,10.272,-0.1277,-0.0273,-87.38,AVANZAR
322,10.304,-0.1276,-0.0298,-87.38,AVANZAR
323,10.336,-0.1274,-0.0324,-87.38,AVANZAR
324,10.368,-0.1273,-0.035,-87.38,AVANZAR
325,10.4,-0.1272,-0.0376,-87.38,GIRANDO
326,10.432,-0.1272,-0.0375,-87.52,AVANZAR
327,10.464,-0.1271,-0.0401,-87.52,AVANZAR
328,10.496,-0.127,-0.0426,-87.52,AVANZAR
329,10.528,-0.1269,-0.0452,-87.52,AVANZAR
330,10.56,-0.1268,-0.0478,-87.52,GIRANDO
331,10.592,-0.1268,-0.0477,-87.66,AVANZAR
332,10.624,-0.1267,-0.0503,-87.66,AVANZAR
333,10.656,-0.1266,-0.0529,-87.66,AVANZAR
334,10.688,-0.1265,-0.0554,-87.66,AVANZAR
335,10.72,-0.1264,-0.058,-87.66,GIRANDO
336,10.752,-0.1264,-0.0579,-80.71,GIRANDO
337,10.784,-0.1263,-0.058,-74.33,GIRANDO
338,10.816,-0.1263,-0.058,-68.66,GIRANDO
339,10.848,-0.1263,-0.058,-63.55,GIRANDO
340,10.88,-0.1264,-0.0579,-58.87,GIRANDO
341,10.912,-0.1264,-0.0579,-54.61,GIRANDO
342,10.944,-0.1264,-0.0579,-50.92,GIRANDO
343,10.976,-0.1263,-0.058,-47.38,GIRANDO
344,11.008,-0.1264,-0.0579,-43.97,GIRANDO
345,11.04,-0.1264,-0.0579,-41.56,GIRANDO
346,11.072,-0.1264,-0.0579,-39.01,GIRANDO
347,11.104,-0.1263,-0.058,-36.6,GIRANDO
348,11.136,-0.1264,-0.0579,-34.47,GIRANDO
349,11.168,-0.1263,-0.058,-32.63,GIRANDO
350,11.2,-0.1263,-0.058,-30.92,GIRANDO
351,11.232,-0.1264,-0.058,-29.36,GIRANDO
352,11.264,-0.1263,-0.058,-28.09,GIRANDO
353,11.296,-0.1264,-0.058,-26.81,GIRANDO
354,11.328,-0.1264,-0.058,-25.68,GIRANDO
355,11.36,-0.1264,-0.058,-24.54,GIRANDO
356,11.392,-0.1264,-0.058,-23.69,GIRANDO
357,11.424,-0.1264,-0.058,-22.84,GIRANDO
358,11.456,-0.1263,-0.058,-22.13,GIRANDO
359,11.488,-0.1264,-0.058,-21.42,GIRANDO
360,11.52,-0.1264,-0.058,-20.85,GIRANDO
361,11.552,-0.1264,-0.058,-20.28,GIRANDO
362,11.584,-0.1264,-0.058,-19.72,GIRANDO
363,11.616,-0.1264,-0.058,-19.15,GIRANDO
364,11.648,-0.1264,-0.058,-18.87,GIRANDO
365,11.68,-0.1263,-0.058,-18.44,GIRANDO
366,11.712,-0.1263,-0.058,-18.16,GIRANDO
367,11.744,-0.1264,-0.058,-17.73,GIRANDO
368,11.776,-0.1263,-0.058,-17.59,GIRANDO
369,11.808,-0.1263,-0.058,-17.31,GIRANDO
370,11.84,-0.1263,-0.058,-17.02,GIRANDO
371,11.872,-0.1264,-0.058,-16.88,GIRANDO
372,11.904,-0.1264,-0.058,-16.6,GIRANDO
373,11.936,-0.1264,-0.058,-16.6,GIRANDO
374,11.968,-0.1264,-0.058,-16.31,GIRANDO
375,12.0,-0.1263,-0.058,-16.17,GIRANDO
376,12.032,-0.1264,-0.058,-16.03,AVANZAR
377,12.064,-0.1239,-0.0587,-16.03,AVANZAR
378,12.096,-0.1214,-0.0594,-16.03,AVANZAR
379,12.128,-0.119,-0.0601,-16.03,AVANZAR
380,12.16,-0.1165,-0.0608,-16.17,GIRANDO
